,price,manufacturer,model,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,is_Turbo
0,13328,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005,6.0,Automatic,4x4,4,Left wheel,Silver,12,No
1,16621,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3.0,192000,6.0,Tiptronic,4x4,4,Left wheel,Black,8,No
2,8467,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000,4.0,Variator,Front,4,Right-hand drive,Black,2,No
3,3607,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966,4.0,Automatic,4x4,4,Left wheel,White,0,No
4,11726,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901,4.0,Automatic,Front,4,Left wheel,Silver,4,No
5,39493,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,160931,4.0,Automatic,Front,4,Left wheel,White,4,No
6,1803,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909,4.0,Automatic,Front,4,Left wheel,White,12,No
7,1098,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069,4.0,Automatic,Front,4,Left wheel,Black,12,No
8,26657,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500,6.0,Automatic,4x4,4,Left wheel,Silver,12,No
9,941,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467,6.0,Automatic,Rear,4,Left wheel,White,12,No
10,8781,FORD,Transit,1999,Microbus,No,CNG,4.0,0,8.0,Manual,Rear,2,Left wheel,Blue,0,No
11,3000,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000,4.0,Manual,Front,4,Left wheel,White,4,No
12,1019,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038,6.0,Automatic,Front,4,Left wheel,White,12,No
13,59464,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,76000,4.0,Automatic,Front,4,Left wheel,White,4,No
14,7683,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840,4.0,Automatic,Front,4,Left wheel,Blue,12,No
15,28382,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317,4.0,Automatic,Front,4,Left wheel,White,4,No
16,941,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523,6.0,Automatic,4x4,4,Left wheel,Black,12,No
17,18826,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645,4.0,Automatic,Front,4,Left wheel,Silver,4,No
18,20698,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,4,Left wheel,White,12,No
19,17562,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709,4.0,Automatic,Front,4,Left wheel,Black,12,No
20,7840,FORD,Transit,2001,Microbus,No,Diesel,2.0,230000,4.0,Manual,Front,2,Left wheel,White,0,Yes
21,4704,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0,4.0,Automatic,Front,4,Left wheel,Green,4,No
22,20385,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2,210000,4.0,Tiptronic,Rear,4,Left wheel,Black,8,Yes
23,14454,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787,4.0,Automatic,Front,4,Left wheel,Silver,4,No
24,12074,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550,6.0,Automatic,4x4,4,Left wheel,Blue,12,No
25,15681,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0,180000,6.0,Manual,Rear,4,Left wheel,White,4,Yes
26,19444,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3.0,175056,6.0,Automatic,4x4,4,Left wheel,White,12,No
27,6899,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000,8.0,Automatic,4x4,4,Left wheel,Silver,6,No
28,24462,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0,250000,6.0,Tiptronic,4x4,4,Left wheel,Black,10,Yes
29,23235,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2.0,162000,4.0,Automatic,Front,4,Left wheel,Grey,4,No
30,7527,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000,4.0,Automatic,Front,4,Right-hand drive,Black,4,No
31,19121,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490,4.0,Automatic,Front,4,Left wheel,Silver,4,No
32,24462,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200,4.0,Automatic,Front,4,Left wheel,Blue,4,No
33,45734,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057,4.0,Automatic,Front,4,Left wheel,Black,4,No
34,20165,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4,11200,4.0,Tiptronic,Front,4,Left wheel,Black,8,Yes
35,21326,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000,4.0,Tiptronic,Front,4,Left wheel,White,12,No
36,15681,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000,4.0,Variator,Front,4,Left wheel,Sky blue,8,No
37,55390,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2.0,100734,4.0,Automatic,Front,4,Left wheel,Black,4,No
38,12544,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500,4.0,Automatic,Front,4,Right-hand drive,Black,8,No
39,17249,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000,4.0,Variator,4x4,4,Left wheel,White,8,No
40,34889,HONDA,Civic,2016,Sedan,Yes,Petrol,2.0,87768,4.0,Automatic,Front,4,Left wheel,Blue,4,No
41,862,AUDI,Q7,2015,Jeep,Yes,Petrol,3.0,264014,6.0,Automatic,4x4,4,Left wheel,Black,0,No
42,38500,AUDI,Q5,2014,Jeep,Yes,Petrol,2.0,87000,1.0,Tiptronic,4x4,4,Left wheel,White,12,No
43,8781,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2.0,260000,4.0,Manual,Rear,2,Left wheel,Blue,0,No
44,87112,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0,5323,4.0,Tiptronic,4x4,4,Left wheel,Grey,0,Yes
45,1411,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112,4.0,Automatic,4x4,4,Left wheel,Black,0,No
46,23521,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4,22000,4.0,Automatic,Front,4,Left wheel,Red,6,Yes
47,16935,FORD,Fusion,2013,Sedan,No,Petrol,1.6,83000,4.0,Tiptronic,Front,4,Left wheel,Silver,8,Yes
48,10349,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000,4.0,Automatic,Front,4,Right-hand drive,Black,6,No
49,7213,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118,4.0,Automatic,Front,4,Left wheel,Black,0,No
50,5331,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000,4.0,Tiptronic,Front,4,Left wheel,Black,6,No
51,20526,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2.0,200279,4.0,Automatic,Front,4,Left wheel,Grey,4,No
52,34657,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672,4.0,Automatic,Front,4,Left wheel,Silver,4,No
53,36564,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969,4.0,Automatic,Front,4,Left wheel,Black,4,No
54,5488,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000,4.0,Manual,Front,4,Right-hand drive,Sky blue,3,No
55,30063,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105,4.0,Automatic,Front,4,Left wheel,Silver,4,No
56,15800,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456,4.0,Automatic,Front,4,Left wheel,Silver,4,No
57,43952,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643,4.0,Automatic,Front,4,Left wheel,Grey,4,No
58,53154,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,84506,4.0,Automatic,Front,4,Left wheel,Silver,4,No
59,14740,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000,4.0,Automatic,Front,4,Left wheel,White,8,No
60,42337,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3,75000,4.0,Tiptronic,Rear,2,Left wheel,Silver,6,Yes
61,3763,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362,6.0,Automatic,Rear,4,Left wheel,White,12,No
62,18189,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000,4.0,Automatic,Front,4,Left wheel,Silver,8,No
63,862,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190,8.0,Automatic,4x4,4,Left wheel,White,0,No
64,5645,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877,6.0,Automatic,4x4,4,Left wheel,White,12,No
65,7527,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656,4.0,Automatic,Front,4,Left wheel,White,12,No
66,21953,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000,8.0,Automatic,4x4,4,Right-hand drive,White,10,No
67,8154,HONDA,Cr-v,1998,Jeep,No,Petrol,2.0,0,4.0,Automatic,4x4,4,Right-hand drive,White,2,No
68,21953,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053,4.0,Automatic,Front,4,Left wheel,Black,0,No
69,19121,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362,4.0,Automatic,Front,4,Left wheel,Black,4,No
70,36065,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2.0,69191,4.0,Automatic,Front,4,Left wheel,White,4,No
71,8781,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000,4.0,Tiptronic,Front,4,Right-hand drive,Green,12,No
72,6247,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772,4.0,Automatic,Front,4,Left wheel,Black,4,No
73,16289,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2.0,172000,4.0,Automatic,Front,4,Left wheel,Grey,4,No
74,6981,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2.0,103246,4.0,Automatic,Front,4,Left wheel,Black,4,No
75,27284,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2.0,105394,4.0,Tiptronic,Front,4,Left wheel,Black,12,No
76,18817,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8,333333,4.0,Manual,Rear,4,Left wheel,Black,0,Yes
77,4234,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0,4.0,Manual,Front,2,Left wheel,Blue,6,No
78,15053,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000,6.0,Tiptronic,Rear,4,Left wheel,Grey,8,No
